Pressure [bar],CH4 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.02266292256712,-5.7899398867576
0.8,0.08756719507668,-5.8231576496803
1.4,0.1564975455208,-5.8235164999626
2.0,0.22497333877876,-5.7931294638032
2.6,0.28796197743236,-5.8561680510173
3.2,0.357963784101,-5.8393665244901
3.8,0.42640710898852,-5.8973319863976
4.4,0.4826423265906,-5.9029200236129
5.0,0.56394312617236,-5.9160663656847
5.6,0.62884739868192,-5.9388139482677
6.2,0.68323191916892,-5.9474049869879
6.8,0.76573404845696,-6.0390775984635
7.4,0.816579516566,-6.0208519784158
8.0,0.90476361068104,-6.0003324935771
8.6,0.95077129159452,-6.0362674914569
9.2,1.0297343685046,-6.0745119020894
9.8,1.1027232652537,-6.0366767271125
10.2,1.122074414036,-6.1422470546174
