Pressure [bar],N2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.20562101367132,-16.361950396182
0.8,0.77309074846788,-16.663008156444
1.4,1.2378706933571,-16.75067305214
2.0,1.6824305678611,-16.836925078779
2.6,2.0678794308288,-17.089049745163
3.2,2.4605008858866,-17.588385672595
3.8,2.741509564739,-17.519978049936
4.4,3.0732293751469,-17.771897350195
5.0,3.3423776246894,-17.88438302861
5.6,3.5995447280843,-17.97523309471
6.2,3.8417429435365,-18.299983537452
6.8,4.0318820227651,-18.108981317503
7.4,4.2011471487575,-18.242447432092
8.0,4.4179948283405,-18.559685382422
8.6,4.5852077680909,-18.419369268248
9.2,4.7058441279792,-18.658235347917
9.8,4.8199114799058,-18.63169397953
10.2,4.9823259254156,-18.772493909689
